Learning Visual Servoing with Deep Features and Fitted Q-Iteration,"['https://www.semanticscholar.org/author/Sergey-Levine/1736651', 'https://www.semanticscholar.org/author/Alex-X.-Lee/49250083', 'https://www.semanticscholar.org/author/P.-Abbeel/1689992']","[{'Publications': '434', 'h-index': '99', 'Citations': '45,061', 'Highly Influential Citations': '5,900'}, {'Publications': '18', 'h-index': '15', 'Citations': '1,992', 'Highly Influential Citations': '199'}, {'Publications': '492', 'h-index': '113', 'Citations': '57,290', 'Highly Influential Citations': '7,147'}]"
Learning End-to-End Goal-Oriented Dialog,"['https://www.semanticscholar.org/author/Antoine-Bordes/1713934', 'https://www.semanticscholar.org/author/J.-Weston/145183709']","[{'Publications': '80', 'h-index': '36', 'Citations': '22,035', 'Highly Influential Citations': '3,256'}, {'Publications': '241', 'h-index': '86', 'Citations': '63,850', 'Highly Influential Citations': '7,299'}]"
Learning Graphical State Transitions,['https://www.semanticscholar.org/author/D.-Johnson/143957977'],"[{'Publications': '56', 'h-index': '12', 'Citations': '696', 'Highly Influential Citations': '25'}]"
Revisiting Classifier Two-Sample Tests,"['https://www.semanticscholar.org/author/M.-Oquab/2093491', 'https://www.semanticscholar.org/author/David-Lopez-Paz/1401804750']","[{'Publications': '22', 'h-index': '8', 'Citations': '3,752', 'Highly Influential Citations': '255'}, {'Publications': '52', 'h-index': '24', 'Citations': '5,360', 'Highly Influential Citations': '1,022'}]"
Mollifying Networks,"['https://www.semanticscholar.org/author/Yoshua-Bengio/1751762', 'https://www.semanticscholar.org/author/Francesco-Visin/2077146', 'https://www.semanticscholar.org/author/%C3%87aglar-G%C3%BCl%C3%A7ehre/1854385', 'https://www.semanticscholar.org/author/M.-Moczulski/3009779']","[{'Publications': '821', 'h-index': '173', 'Citations': '302,088', 'Highly Influential Citations': '33,378'}, {'Publications': '14', 'h-index': '9', 'Citations': '3,631', 'Highly Influential Citations': '281'}, {'Publications': '38', 'h-index': '29', 'Citations': '28,563', 'Highly Influential Citations': '4,357'}, {'Publications': '11', 'h-index': '6', 'Citations': '567', 'Highly Influential Citations': '53'}]"
Introspection:Accelerating Neural Network Training By Learning Weight Evolution,"['https://www.semanticscholar.org/author/Abhishek-Sinha/144318274', 'https://www.semanticscholar.org/author/Aahitagni-Mukherjee/17765450', 'https://www.semanticscholar.org/author/Mausoom-Sarkar/39230373', 'https://www.semanticscholar.org/author/Balaji-Krishnamurthy/145846953']","[{'Publications': '25', 'h-index': '5', 'Citations': '116', 'Highly Influential Citations': '22'}, {'Publications': '2', 'h-index': '1', 'Citations': '12', 'Highly Influential Citations': '1'}, {'Publications': '16', 'h-index': '4', 'Citations': '39', 'Highly Influential Citations': '3'}, {'Publications': '70', 'h-index': '15', 'Citations': '617', 'Highly Influential Citations': '40'}]"
Neural Program Lattices,"['https://www.semanticscholar.org/author/Alexander-L.-Gaunt/35058304', 'https://www.semanticscholar.org/author/C.-Li/7430758', 'https://www.semanticscholar.org/author/Marc-Brockschmidt/2107692', 'https://www.semanticscholar.org/author/Daniel-Tarlow/1725299', 'https://www.semanticscholar.org/author/Nate-Kushman/1684887']","[{'Publications': '44', 'h-index': '17', 'Citations': '1,904', 'Highly Influential Citations': '142'}, {'Publications': '109', 'h-index': '23', 'Citations': '1,851', 'Highly Influential Citations': '207'}, {'Publications': '64', 'h-index': '27', 'Citations': '4,058', 'Highly Influential Citations': '549'}, {'Publications': '75', 'h-index': '25', 'Citations': '3,695', 'Highly Influential Citations': '437'}, {'Publications': '33', 'h-index': '19', 'Citations': '2,136', 'Highly Influential Citations': '248'}]"
Highway and Residual Networks learn Unrolled Iterative Estimation,"['https://www.semanticscholar.org/author/R.-Srivastava/2100612', 'https://www.semanticscholar.org/author/J.-Schmidhuber/145341374', 'https://www.semanticscholar.org/author/Klaus-Greff/3035541']","[{'Publications': '33', 'h-index': '13', 'Citations': '6,927', 'Highly Influential Citations': '596'}, {'Publications': '454', 'h-index': '90', 'Citations': '101,923', 'Highly Influential Citations': '11,972'}, {'Publications': '25', 'h-index': '15', 'Citations': '6,283', 'Highly Influential Citations': '536'}]"
Hadamard Product for Low-rank Bilinear Pooling,"['https://www.semanticscholar.org/author/M.-Wo%C5%BAniak/144433006', 'https://www.semanticscholar.org/author/Y.-Li/47002010', 'https://www.semanticscholar.org/author/Zongwen-Bai/2918814']","[{'Publications': '215', 'h-index': '28', 'Citations': '2,616', 'Highly Influential Citations': '38'}, {'Publications': '138', 'h-index': '12', 'Citations': '532', 'Highly Influential Citations': '32'}, {'Publications': '13', 'h-index': '4', 'Citations': '55', 'Highly Influential Citations': '0'}]"
Machine Comprehension Using Match-LSTM and Answer Pointer,"['https://www.semanticscholar.org/author/Shuohang-Wang/2992833', 'https://www.semanticscholar.org/author/Jing-Jiang/144924150']","[{'Publications': '36', 'h-index': '13', 'Citations': '1,653', 'Highly Influential Citations': '273'}, {'Publications': '203', 'h-index': '38', 'Citations': '9,252', 'Highly Influential Citations': '907'}]"
Unsupervised Cross-Domain Image Generation,"['https://www.semanticscholar.org/author/A.-Polyak/33964593', 'https://www.semanticscholar.org/author/Yaniv-Taigman/2188620', 'https://www.semanticscholar.org/author/Lior-Wolf/145128145']","[{'Publications': '17', 'h-index': '9', 'Citations': '1,136', 'Highly Influential Citations': '75'}, {'Publications': '27', 'h-index': '18', 'Citations': '7,532', 'Highly Influential Citations': '615'}, {'Publications': '214', 'h-index': '51', 'Citations': '18,307', 'Highly Influential Citations': '1,801'}]"
Tying Word Vectors and Word Classifiers: A Loss Framework for Language Modeling,"['https://www.semanticscholar.org/author/Khashayar-Khosravi/2308992', 'https://www.semanticscholar.org/author/R.-Socher/2166511', 'https://www.semanticscholar.org/author/Hakan-Inan/2901820']","[{'Publications': '16', 'h-index': '5', 'Citations': '593', 'Highly Influential Citations': '85'}, {'Publications': '198', 'h-index': '62', 'Citations': '78,745', 'Highly Influential Citations': '12,822'}, {'Publications': '11', 'h-index': '7', 'Citations': '460', 'Highly Influential Citations': '40'}]"
Making Neural Programming Architectures Generalize via Recursion,"['https://www.semanticscholar.org/author/Jonathon-Cai/2350111', 'https://www.semanticscholar.org/author/D.-Song/143711382', 'https://www.semanticscholar.org/author/Richard-Shin/39428234']","[{'Publications': '5', 'h-index': '1', 'Citations': '116', 'Highly Influential Citations': '9'}, {'Publications': '404', 'h-index': '111', 'Citations': '53,980', 'Highly Influential Citations': '4,847'}, {'Publications': '33', 'h-index': '12', 'Citations': '530', 'Highly Influential Citations': '78'}]"
