,paper,schools,regions,COO
2021,CoT: Cooperative Training for Generative Modeling of Discrete Data,Shanghai Jiao Tong University;Shanghai Jiao Tong University;Shanghai Jiao Tong University;Shanghai Jiao Tong University;Shanghai Jiao Tong University;Shanghai Jiao Tong University,asia,cn
2022,Direct Optimization through $\arg \max$  for  Discrete Variational Auto-Encoder,"Technion, Technion;Technion, Technion",NAN,NAN
2023,Sinkhorn AutoEncoders,";Karl-Franzens University Graz;University of Amsterdam;University of Amsterdam;University of California, Irvine;Google;Bosch;Ecole Polytechnique, France",NAN,NAN
2024,Structured Prediction using cGANs with Fusion Discriminator,Johns Hopkins University;Johns Hopkins University;Johns Hopkins University;University of New Hampshire;Johns Hopkins University,usa,usa
2025,Evaluating GANs via Duality,Swiss Federal Institute of Technology;Swiss Federal Institute of Technology;Swiss Federal Institute of Technology;Swiss Federal Institute of Technology;Swiss Federal Institute of Technology;Swiss Federal Institute of Technology,NAN,NAN
2026,Hyper-Regularization: An Adaptive Choice for the Learning Rate in Gradient Descent,Peking University;Peking University;Peking University;Peking University,asia,cn
2027,Wasserstein proximal of GANs,"University of California, Los Angeles;University of California, Los Angeles;University of California, Los Angeles;University of California, Los Angeles",usa,usa
2028,On the Convergence and Robustness of Batch Normalization,"National University of Singapore;Institute of High Performance Computing, Singapore, A*STAR;National University of Singapore",asia,sg
2029,Aligning Artificial Neural Networks to the Brain yields Shallow Recurrent Architectures,Massachusetts Institute of Technology;Massachusetts Institute of Technology;Massachusetts Institute of Technology,usa,usa
2030,Finding Mixed Nash Equilibria of Generative Adversarial Networks,Swiss Federal Institute of Technology Lausanne;Swiss Federal Institute of Technology Lausanne;Swiss Federal Institute of Technology Lausanne,NAN,NAN
2031,Local Stability and Performance of Simple Gradient Penalty $\mu$-Wasserstein GAN,POSTECH;POSTECH;POSTECH,asia,kr
2032,Learning Discriminators as Energy Networks in Adversarial Learning,University of Technology Sydney;University of Technology Sydney;University of Iowa;University of Technology Sydney,australasia,au
2033,Optimistic Acceleration for Optimization,Georgia Institute of Technology;Rutgers University;,asia,in
2034,Rethinking learning rate schedules for stochastic optimization,"Duke University;University of Washington;University of Washington, Seattle;Microsoft",NAN,NAN
2035,On the Ineffectiveness of Variance Reduced Optimization for Deep Learning,Facebook,NAN,NAN
2036,EDDI: Efficient Dynamic Discovery of High-Value Information with Partial VAE,University of Cambridge;Microsoft;Microsoft;University of Cambridge;Microsoft;Microsoft,NAN,NAN
2037,"Search-Guided, Lightly-supervised Training of  Structured Prediction Energy Networks","University of Massachusetts, Amherst;University of Massachusetts, Amherst;University of Massachusetts, Amherst;University of Massachusetts, Amherst",usa,usa
2038,Distinguishability of Adversarial Examples,Colorado School of Mines;Colorado School of Mines;Colorado School of Mines,usa,usa
2039,On the Geometry of Adversarial Examples,University of California Berkeley;University of California Berkeley,usa,usa
2040,Partially Mutual Exclusive Softmax for Positive and Unlabeled data,Criteo;Criteo;Criteo,NAN,NAN
2041,Learning Global Additive Explanations for Neural Nets Using Model Distillation,Cornell University;Microsoft;Cornell University;Microsoft;Facebook,NAN,NAN
2042,Predicted Variables in Programming,Google;Google;Google;Google;Google;Google,NAN,NAN
2043,Learning Abstract Models for Long-Horizon Exploration,Stanford University;Stanford University;Stanford University;Stanford University;Stanford University;Stanford University;Stanford University,usa,usa
2044,Domain Adaptation for Structured Output via Disentangled Patch Representations,NEC-Labs;Google;NEC-Labs;NEC-Labs,NAN,NAN
2045,Meta-Learning Neural Bloom Filters,Google;Google;Google,NAN,NAN
2046,The Universal Approximation Power of Finite-Width Deep ReLU Networks,Swiss Federal Institute of Technology;University of Vienna;University of Vienna;Swiss Federal Institute of Technology,NAN,NAN
2047,Transfer Learning for Related Reinforcement Learning Tasks via Image-to-Image Translation,;Bar-Ilan University,europe,il
2048,Guiding Physical Intuition with Neural Stethoscopes,University of Oxford;University of Oxford;University of Oxford;;DeepMind;University of Oxford;University of Oxford,europe,uk
2049,An Adversarial Learning Framework for a Persona-based Multi-turn Dialogue Model,Capital One Bank;Capital One Bank;Capital One Bank;Capital One Bank,NAN,NAN
2050,Adaptive Sample-space & Adaptive Probability coding: a neural-network based approach for compression,"The University of Tokyo;Preferred Networks, Inc.;Preferred Networks, Inc.;Preferred Networks, Inc.",NAN,NAN
2051,Seq2Slate: Re-ranking and Slate Optimization with RNNs,Google;Google;Google;Google;Google;Google;Google;Google;Google,NAN,NAN
2052,An Efficient and Margin-Approaching Zero-Confidence Adversarial Attack,"International Business Machines;International Business Machines;International Business Machines;University of Illinois, Urbana Champaign",usa,usa
2053,Neural Causal Discovery with Learnable Input Noise,Massachusetts Institute of Technology;NVIDIA;NVIDIA,NAN,NAN
2054,Dense Morphological Network: An Universal Function Approximator,"Indian Statistical Institute, Kolkata;Indian Statistical Institute, Kolkata;Indian Statistical Institute, Kolkata",NAN,NAN
2055,Filter Training and Maximum Response: Classification via Discerning,"University of California, Irvine",usa,usa
2056,BEHAVIOR MODULE IN NEURAL NETWORKS,National University of Singapore;National University of Singapore;National University of Singapore,asia,sg
2057,Surprising Negative Results for Generative  Adversarial Tree Search ,"University of California, Irvine;Stanford University;University of California, Davis;Stanford University;Carnegie Mellon University;California Institute of Technology",usa,usa
2058,Evaluation Methodology for Attacks Against Confidence Thresholding Models,Google;Google;Google,NAN,NAN
