,paper,schools,regions,COO
3639,Lagrangian Fluid Simulation with Continuous Convolutions,Intel;Technical University Munich;Technical University Munich;Intel,NAN,NAN
3640,Stochastic Weight Averaging in Parallel: Large-Batch Training That Generalizes Well,University of California Berkeley;Apple;Apple,NAN,NAN
3641,Adversarial AutoAugment,Huawei Technologies Ltd.;Huawei Technologies Ltd.;Huawei Technologies Ltd.;Huawei Technologies Ltd.,NAN,NAN
3642,NAS-Bench-1Shot1: Benchmarking and Dissecting One-shot Neural Architecture Search,Universität Freiburg;Universität Freiburg;Universität Freiburg,NAN,NAN
3643,You Only Train Once: Loss-Conditional Training of Deep Networks,Google;Google,NAN,NAN
3644,Q-learning with UCB Exploration is Sample Efficient for Infinite-Horizon MDP,"Tsinghua University, Tsinghua University;Tsinghua University, Tsinghua University;Peking University;Peking University",asia,cn
3645,Deep Audio Priors Emerge From Harmonic Convolutional Networks,Massachusetts Institute of Technology;Massachusetts Institute of Technology;;Massachusetts Institute of Technology;Massachusetts Institute of Technology;Massachusetts Institute of Technology;Massachusetts Institute of Technology,usa,usa
3646,Abductive Commonsense Reasoning,"Allen Institute for Artificial Intelligence;Allen Institute for Artificial Intelligence;Allen Institute for Artificial Intelligence;Allen Institute for Artificial Intelligence;Allen Institute for Artificial Intelligence;University of Washington, Seattle;Allen Institute for Artificial Intelligence;Facebook;Allen Institute for Artificial Intelligence",NAN,NAN
3647,DeepHoyer: Learning Sparser Neural Network with Differentiable Scale-Invariant Sparsity Measures,Duke University;Duke University;Duke University,europe,se
3648,DeFINE: Deep Factorized Input Token Embeddings for Neural Sequence Modeling,"University of Washington, Seattle;University of Washington, Seattle;Allen Institute for Artificial Intelligence;University of Washington",usa,usa
3649,Never Give Up: Learning Directed Exploration Strategies,Google;Google;Google;Google;Google;Google;Google;;Google;Google;Google,NAN,NAN
3650,Beyond Linearization: On Quadratic and Higher-Order Approximation of Wide Neural Networks,SalesForce.com;Princeton University,usa,usa
3651,Why Gradient Clipping Accelerates Training: A Theoretical Justification for Adaptivity,Massachusetts Institute of Technology;Massachusetts Institute of Technology;Massachusetts Institute of Technology;Massachusetts Institute of Technology,usa,usa
3652,Thieves on Sesame Street! Model Extraction of BERT-based APIs,"University of Massachusetts, Amherst;Google;Google;Google;University of Massachusetts, Amherst",usa,usa
3653,GraphZoom: A Multi-level Spectral Approach for Accurate and Scalable Graph Embedding,Cornell University;Michigan Technological University;Michigan Technological University;Cornell University;Stevens Institute of Technology,usa,usa
3654,Low-Resource Knowledge-Grounded Dialogue Generation,Peking University;Microsoft;Peking University;Microsoft;Peking University;Peking University,asia,cn
3655,Diverse Trajectory Forecasting with Determinantal Point Processes,Carnegie Mellon University;Carnegie Mellon University,usa,usa
3656,Maxmin Q-learning: Controlling the Estimation Bias of Q-learning,University of Alberta;University of Alberta;University of Alberta;University of Alberta,canada,ca
3657,Editable Neural Networks,;Higher School of Economics;;Yandex;Moscow Institute of Physics and Technology,NAN,NAN
3658,Rethinking Softmax Cross-Entropy Loss for Adversarial Robustness,"Tsinghua University, Tsinghua University;;Tsinghua University, Tsinghua University;;Tsinghua University, Tsinghua University;Tsinghua University, Tsinghua University",NAN,NAN
3659,Self-labelling via simultaneous clustering and representation learning,University of Oxford;University of Oxford;University of Oxford,europe,uk
3660,Semi-Supervised Generative Modeling for Controllable Speech Synthesis,University College London;Google;Google;Google;Google;Google;Google;Google,NAN,NAN
3661,EMPIR: Ensembles of Mixed Precision Deep Networks for Increased Robustness Against Adversarial Attacks,Purdue University;Indian Institute of Technology Madras;Purdue University,usa,usa
3662,Training Recurrent Neural Networks Online by Learning Explicit State Variables,University of Alberta;University of Alberta;University of Alberta;University of Alberta;University of Alberta;University of Alberta,canada,ca
3663,MEMO: A Deep Network for Flexible Combination of Episodic Memories,Google;Google;Google;Google;Google;Google;University College London;Google;Google;Google,NAN,NAN
3664,Differentiable learning of numerical rules in knowledge graphs,Carnegie Mellon University;Bosch;Bosch;Carnegie Mellon University,usa,usa
3665,Multiplicative Interactions and Where to Find Them,Google;Google;Google;Google;Google;Google;Google;Google;Google,NAN,NAN
3666,Recurrent neural circuits for contour detection,Brown University;Brown University;Brown University;Brown University,usa,usa
3667,Provable Benefit of Orthogonal Initialization in Optimizing Deep Linear Networks,Princeton University;Google;Google,NAN,NAN
3668,Sliced Cramer Synaptic Consolidation for Preserving Deeply Learned Representations,"HRL Laboratories, LLC;HRL Laboratories, LLC;Loughborough University;HRL Laboratories, LLC",NAN,NAN
3669,Neural Outlier Rejection for Self-Supervised Keypoint Learning,"KTH Royal Institute of Technology, Stockholm, Sweden;Toyota Research Institute;Toyota Research Institute;Toyota Research Institute;Toyota Research Institute",NAN,NAN
3670,vq-wav2vec: Self-Supervised Learning of Discrete Speech Representations,Facebook;Facebook;Facebook,NAN,NAN
3671,A Fair Comparison of Graph Neural Networks for Graph Classification,University of Pisa;University of Pisa;University of Pisa;University of Pisa,europe,il
3672,Towards Hierarchical Importance Attribution: Explaining Compositional Semantics for Neural Sequence Models,University of Southern California;Fudan University;University of Southern California;Fudan University;University of Southern California,usa,usa
3673,Understanding Why Neural Networks Generalize Well Through GSNR of Parameters,126;Kuaishou Technology;Peking University;;Kuaishou Technology,NAN,NAN
3674,Intrinsic Motivation for Encouraging Synergistic Behavior,"Massachusetts Institute of Technology;Facebook;University of Illinois, Urbana Champaign;Carnegie Mellon University",usa,usa
3675,Sharing Knowledge in Multi-Task Deep Reinforcement Learning,TU Darmstadt;TU Darmstadt;Politecnico di Milano;Politecnico di Milano;TU Darmstadt,europe,de
3676,Provable Filter Pruning for Efficient Neural Networks,Massachusetts Institute of Technology;Massachusetts Institute of Technology;Massachusetts Institute of Technology;University of Haifa;Massachusetts Institute of Technology,usa,usa
3677,Additive Powers-of-Two Quantization: An Efficient Non-uniform Discretization for Neural Networks,;Harvard University;National University of Singapore,asia,sg
3678,Variational Recurrent Models for Solving Partially Observable Control Tasks,Okinawa Institute of Science and Technology (OIST);Okinawa Institute of Science and Technology (OIST);Okinawa Institute of Science and Technology (OIST),NAN,NAN
3679,SEED RL: Scalable and Efficient Deep-RL with Accelerated Central Inference,Google;Google;Google;Google;Google,NAN,NAN
3680,Discriminative Particle Filter Reinforcement Learning for Complex Partial observations,National University of Singapore;National University of Singapore;National University of Singapore;National University of Singapore;University of Queensland,australasia,au
3681,White Noise Analysis of Neural Networks,HCL America;UC Santa Barbara,NAN,NAN
3682,RaCT: Toward Amortized Ranking-Critical Training For Collaborative Filtering ,Brown University;Microsoft;Microsoft;Duke University,europe,se
3683,Skip Connections Matter: On the Transferability of Adversarial Examples Generated with ResNets,"Tsinghua University, Tsinghua University;Peking University;Tsinghua University, Tsinghua University;The University of Melbourne;The University of Melbourne",NAN,NAN
3684,The Local Elasticity of Neural Networks,University of Pennsylvania;University of Pennsylvania,usa,usa
3685,Deep probabilistic subsampling for task-adaptive compressed sensing,Eindhoven University of Technology;Google;Eindhoven University of Technology,NAN,NAN
3686,Simplified Action Decoder for Deep Multi-Agent Reinforcement Learning,Facebook;,asia,in
3687,On the Need for Topology-Aware Generative Models for Manifold-Based Defenses,University of Southern California;SRI International;University of Southern California,usa,usa
3688,Functional Regularisation for  Continual Learning with Gaussian Processes,Google;Google;Google;Google;Google,NAN,NAN
3689,Graph inference learning for semi-supervised classification,Nanjing University of Science and Technology;Nanjing University of Science and Technology;Nanjing University of Science and Technology;Nanjing University of Science and Technology;Nanjing University of Science and Technology;Columbia University,usa,usa
3690,Input Complexity and Out-of-distribution Detection with Likelihood-based Generative Models,Dolby Laboratories;;Universitat Pompeu Fabra;;New York University;Telefonica Research,NAN,NAN
3691,AugMix: A Simple Data Processing Method to Improve Robustness and Uncertainty,University of California Berkeley;Google;Google;Google;Google;Google,NAN,NAN
3692,Learn to Explain Efficiently via Neural Logic Inductive Learning,Georgia Institute of Technology;Georgia Institute of Technology,usa,usa
3693,Doubly Robust Bias Reduction in Infinite Horizon Off-Policy Estimation,"University of Texas, Austin;University of Texas, Austin;Amazon;Google;University of Texas, Austin",usa,usa
3694,Towards Stable and Efficient Training of Verifiably Robust Neural Networks,"Carnegie Mellon University;Massachusetts Institute of Technology;University of Michigan;Google;Google;University of Illinois, Urbana Champaign;Massachusetts Institute of Technology;University of California, Los Angeles",usa,usa
3695,Adversarial Policies: Attacking Deep Reinforcement Learning,University of California Berkeley;University of California Berkeley;University of California Berkeley;University of California Berkeley;University of California Berkeley;University of California Berkeley,usa,usa
3696,Enabling Deep Spiking Neural Networks with Hybrid Conversion and Spike Timing Dependent Backpropagation,Purdue University;Purdue University;Yale University;Purdue University,usa,usa
3697,Towards Verified Robustness under Text Deletion Interventions,University College London;Google;Google;Google;Google;Google;Google,NAN,NAN
3698,N-BEATS: Neural basis expansion analysis for interpretable time series forecasting,Element AI;Element AI;Element AI;Mila,NAN,NAN
3699,Improving Adversarial Robustness Requires Revisiting Misclassified Examples,"Peking University;University of California, Los Angeles;JD AI Research;The University of Melbourne;The University of Melbourne;University of California, Los Angeles",usa,usa
3700,On Generalization Error Bounds of Noisy Gradient Methods for Non-Convex Learning,"Tsinghua University, Tsinghua University;Tsinghua University, Tsinghua University;Stanford University",usa,usa
3701,SPACE: Unsupervised Object-Oriented Scene Representation via Spatial Attention and Decomposition,Zhejiang University;Rutgers University;Oregon State University;Rutgers University;;Rutgers University;Rutgers University;Rutgers University,usa,usa
3702,Learning from Unlabelled Videos Using Contrastive Predictive Neural 3D Mapping,Carnegie Mellon University;Carnegie Mellon University;Carnegie Mellon University;Carnegie Mellon University;Carnegie Mellon University;Carnegie Mellon University,usa,usa
3703,CLN2INV: Learning Loop Invariants with Continuous Logic Networks,Columbia University;Columbia University;Columbia University;Columbia University;Columbia University,usa,usa
3704,"Pay Attention to Features, Transfer Learn Faster CNNs","Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Chinese Academy of Sciences;Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, Chinese Academy of Sciences;University of Cambridge;Baidu;Baidu;University of Macau",europe,de
3705,Sign-OPT: A Query-Efficient Hard-label Adversarial Attack,"University of California, Los Angeles;University of California, Los Angeles;University of California, Los Angeles;International Business Machines;International Business Machines;University of California, Los Angeles",usa,usa
3706,GraphQA: Protein Model Quality Assessment using Graph Convolutional Network,"KTH Royal Institute of Technology, Stockholm, Sweden;Science for Life Laboratory;;KTH Royal Institute of Technology, Stockholm, Sweden",NAN,NAN
3707,Compositional Embeddings: Joint Perception and Comparison of Class Label Sets,Worcester Polytechnic Institute;Worcester Polytechnic Institute,usa,usa
3708,Generating Multi-Sentence Abstractive Summaries of Interleaved Texts,Institut für Informatik;FX Palo Alto Laboratory;FX Palo Alto Laboratory;Siemens Corporate Research;,asia,in
3709,Generalizing Reinforcement Learning to Unseen Actions,University of Southern California;University of Southern California;University of Southern California;University of Southern California,usa,usa
3710,Mixture-of-Experts Variational Autoencoder for clustering and generating from similarity-based representations,Swiss Federal Institute of Technology;Swiss Federal Institute of Technology;Swiss Federal Institute of Technology;Swiss Federal Institute of Technology,NAN,NAN
3711,On Symmetry and Initialization for Neural Networks,Swiss Federal Institute of Technology Lausanne;,asia,in
3712,Training Interpretable Convolutional Neural Networks towards Class-specific Filters,"Tsinghua University, Tsinghua University;Tsinghua University, Tsinghua University;Tsinghua University, Tsinghua University;Tsinghua University, Tsinghua University;University of Southern California;Tsinghua University, Tsinghua University;Tsinghua University, Tsinghua University;Tsinghua University, Tsinghua University",NAN,NAN
3713,InfoCNF: Efficient Conditional Continuous Normalizing Flow Using Adaptive Solvers,Rice University;University of Toronto;Rice University;California Institute of Technology,usa,usa
3714,All SMILES Variational Autoencoder for Molecular Property Prediction and Optimization,;University of British Columbia;D-Wave Systems,NAN,NAN
3715,On Incorporating Semantic Prior Knowlegde in Deep Learning Through Embedding-Space Constraints,The University of Adelaide;The University of Adelaide;The University of Adelaide,NAN,NAN
3716,Learning Latent Representations for Inverse Dynamics using Generalized Experiences,"University of California, San Diego;University of California, San Diego",usa,usa
3717,Differentiable Architecture Compression,"Carnegie Mellon University;University of Illinois, Urbana Champaign;Amazon",NAN,NAN
3718,On Stochastic Sign Descent Methods,KAUST;KAUST,europe,gr
3719,The Generalization-Stability Tradeoff in Neural Network Pruning,SUN YAT-SEN UNIVERSITY;Facebook;SUN YAT-SEN UNIVERSITY;SUN YAT-SEN UNIVERSITY,NAN,NAN
3720,Evaluations and Methods for Explanation through Robustness Analysis,"Nanyang Technological University;Carnegie Mellon University;University of California, Los Angeles;Carnegie Mellon University;Google;Google;University of California, Los Angeles",usa,usa
3721,Unsupervised Meta-Learning for Reinforcement Learning,University of California Berkeley;Carnegie Mellon University;University of California Berkeley;University of California Berkeley,usa,usa
3722,A General Upper Bound for Unsupervised Domain Adaptation,The University of Tokyo;The University of Tokyo,NAN,NAN
3723,FoveaBox: Beyound Anchor-based Object Detection,"ByteDance;Tsinghua University, Tsinghua University;Tsinghua University, Tsinghua University;ByteDance;ByteDance;University of Pennsylvania",usa,usa
3724,CloudLSTM: A Recurrent Neural Model for Spatiotemporal Point-cloud Stream Forecasting,University of Edinburgh;;University of Edinburgh;University of Edinburgh,europe,uk
3725,Step Size Optimization,;POSTECH;POSTECH,asia,kr
3726,Neural Arithmetic Unit by reusing many small pre-trained networks,;Lahore University of Management Sciences;Lahore University of Management Sciences,NAN,NAN
3727,OvA-INN: Continual Learning with Invertible Neural Networks,;CEA;,asia,in
3728,Amortized Nesterov's Momentum: Robust and Lightweight  Momentum for Deep Learning,"Department of Computer Science and Engineering, The Chinese University of Hong Kong;Preferred Networks, Inc.;Department of Computer Science and Engineering, The Chinese University of Hong Kong;Department of Computer Science and Engineering, The Chinese University of Hong Kong",NAN,NAN
3729,Improving Sample Efficiency in Model-Free Reinforcement Learning from Images,New York University;Facebook;New York University;Facebook;Facebook;Facebook,NAN,NAN
3730,Curriculum Learning for Deep Generative Models with Clustering,Alibaba Group;Hong Kong University of Science and Technology;Peking University;Xiaomi,NAN,NAN
3731,Autoencoder-based Initialization for Recurrent Neural Networks with a Linear Memory,University of Pisa;Universita' degli studi di Padova;University of Pisa,europe,il
3732,Universal Approximation with Deep Narrow Networks,University of Oxford;University of Oxford,europe,uk
3733,Probing Emergent Semantics in Predictive Agents via Question Answering,Georgia Institute of Technology;Google;Google;Google;Google;Google;Google;Google;Google;Google;Google,NAN,NAN
3734,Scheduled Intrinsic Drive: A Hierarchical Take on Intrinsically Motivated Exploration,Universität Freiburg;Universität Freiburg;Universität Freiburg;Universität Freiburg;Universität Freiburg,NAN,NAN
3735,Stein Bridging: Enabling Mutual Reinforcement between Explicit and Implicit Generative Models,"Shanghai Jiao Tong University;University of Texas, Austin;Georgia Institute of Technology",usa,usa
3736,New Loss Functions for Fast Maximum Inner Product Search,Google;Google;Google;Google;Google;Google,NAN,NAN
3737,End-to-end named entity recognition and relation extraction using pre-trained language models,Toronto University;University Health Network;Toronto University;Toronto University;Toronto University;Vector Institute,NAN,NAN
3738,AdaGAN: Adaptive GAN for Many-to-Many Non-Parallel Voice Conversion,"Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar;Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar;SUN YAT-SEN UNIVERSITY;Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar;Dhirubhai Ambani Institute of Information and Communication Technology, Gandhinagar",NAN,NAN
3739,Goal-Conditioned Video Prediction,University of Pennsylvania;University of Southern California;University of California Berkeley;University of California Berkeley;Stanford University;University of California Berkeley,usa,usa
3740,wMAN: WEAKLY-SUPERVISED MOMENT ALIGNMENT NETWORK FOR TEXT-BASED VIDEO SEGMENT RETRIEVAL,"Boston University;University of California Berkeley;Boston University;University of Illinois, Urbana Champaign",usa,usa
3741,Data augmentation instead of explicit regularization,;University of Osnabrück,europe,de
3742,Implicit λ-Jeffreys Autoencoders: Taking the Best of Both Worlds,;;;Moscow Institute of Physics and Technology;Higher School of Economics,NAN,NAN
3743,LOSSLESS SINGLE IMAGE SUPER RESOLUTION FROM LOW-QUALITY JPG IMAGES,"University of Nebraska, Omaha;Chinese Academy of Sciences;University of Science and Technology of China;University of Science and Technology of China;126;University of Science and Technology of China",NAN,NAN
3744,Improving Batch Normalization with Skewness Reduction for Deep Neural Networks,SUN YAT-SEN UNIVERSITY;SUN YAT-SEN UNIVERSITY;SUN YAT-SEN UNIVERSITY,NAN,NAN
3745,Cascade Style Transfer,Zhejiang University;Zhejiang University;Zhejiang University;Zhejiang University;Zhejiang University;Zhejiang University;Zhejiang University,asia,cn
3746,Recurrent Hierarchical Topic-Guided Neural Language Models,"126;Xidian University;Xidian University;University of Texas, Austin",usa,usa
3747,The Frechet Distance of training and test distribution predicts the generalization gap,Swiss Federal Institute of Technology;Swiss Federal Institute of Technology;Swiss Federal Institute of Technology;Swiss Federal Institute of Technology;Swiss Federal Institute of Technology;Swiss Federal Institute of Technology,NAN,NAN
3748,Objective Mismatch in Model-based Reinforcement Learning,University of California Berkeley;Facebook;Facebook;Facebook,NAN,NAN
3749,Learning Explainable Models Using Attribution Priors,University of Washington;University of Washington;University of Washington;University of Washington;University of Washington,usa,usa
3750,Improved Modeling of Complex Systems Using Hybrid Physics/Machine Learning/Stochastic Models,Worcester Polytechnic Institute;Palo Alto Research Center (Xerox PARC);Palo Alto Research Center (Xerox PARC),NAN,NAN
3751,Semi-supervised 3D Face Reconstruction with Nonlinear Disentangled Representations,Shanghai Jiao Tong University;University of Science and Technology of China;University of Science and Technology of China;Shanghai Jiao Tong University;Shanghai Jiao Tong University;Shanghai Jiao Tong University,asia,cn
3752,Efficient Exploration via State Marginal Matching,Carnegie Mellon University;Carnegie Mellon University;Carnegie Mellon University;Carnegie Mellon University;University of California Berkeley;Carnegie Mellon University,usa,usa
3753,Adversarial Filters of Dataset Biases,Allen Institute for Artificial Intelligence;Allen Institute for Artificial Intelligence;Allen Institute for Artificial Intelligence;University of Washington;Allen Institute for Artificial Intelligence;Allen Institute for Artificial Intelligence;Allen Institute for Artificial Intelligence,NAN,NAN
3754,Insights on Visual Representations for Embodied Navigation Tasks,Georgia Institute of Technology;Oculus;Georgia Institute of Technology;Georgia Institute of Technology;Georgia Institute of Technology;Facebook,NAN,NAN
3755,Crafting Data-free Universal Adversaries with Dilate Loss,Indian Institute of Science;Indian Institute of Science;;Indian Institute of Science,NAN,NAN
3756,Stochastic Gradient Descent with Biased but Consistent Gradient Estimators,International Business Machines;International Business Machines,NAN,NAN
3757,Wasserstein Robust Reinforcement Learning,Huawei Technologies Ltd.;Huawei Technologies Ltd.;Huawei Technologies Ltd.;Huawei Technologies Ltd.;Huawei Technologies Ltd.;Huawei Technologies Ltd.,NAN,NAN
3758,A Training Scheme for the Uncertain Neuromorphic Computing Chips,"Tsinghua University, Tsinghua University;Tsinghua University, Tsinghua University;Tsinghua University, Tsinghua University",NAN,NAN
3759,A Stochastic Trust Region Method for Non-convex Minimization,Zhejiang University;National University of Singapore;Peking University;Zhejiang University;University of Pennsylvania,usa,usa
3760,MoET: Interpretable and Verifiable Reinforcement Learning via Mixture of Expert Trees,"University of Texas, Austin;University of Belgrade - Faculty of Organizational Sciences;Google;University of Belgrade - Faculty of Organizational Sciences;Google;University of Texas, Austin",usa,usa
3761,Deceptive Opponent Modeling with Proactive Network Interdiction for Stochastic Goal Recognition Control,National University of Defense Technology;National University of Defense Technology,NAN,NAN
3762,Regularization Matters in Policy Optimization,University of California Berkeley;University of California Berkeley;National University of Singapore;University of California Berkeley,usa,usa
3763,Sentence embedding with contrastive multi-views learning,,NAN,NAN
3764,Robust Domain Randomization for Reinforcement Learning,;Uncharted Technologies;;Uncharted Technologies,NAN,NAN
3765,Regularizing Trajectories to Mitigate Catastrophic Forgetting,Carnegie Mellon University;;Carnegie Mellon University,usa,usa
3766,Coloring graph neural networks for node disambiguation,Ecole polytechnique;INRIA;Huawei Technologies Ltd.;Huawei Technologies Ltd.,NAN,NAN
3767,Undersensitivity in Neural Reading Comprehension,University College London;University College London;University College London;University College London;University College London,europe,uk
3768,RotationOut as a Regularization Method for Neural Network,Carnegie Mellon University;Carnegie Mellon University,usa,usa
3769,Meta-Learning with Network Pruning for Overfitting Reduction,University of Science and Technology of China;Rutgers University;University of Science and Technology of China;University of Science and Technology of China,NAN,NAN
3770,An implicit function learning approach for parametric modal regression,University of Alberta;University of Alberta;Vector Institute,NAN,NAN
3771,On the Evaluation of Conditional GANs,University of Guelph;Facebook;Facebook;University of Guelph;Facebook,NAN,NAN
3772,CZ-GEM:  A  FRAMEWORK  FOR DISENTANGLED REPRESENTATION LEARNING,Massachusetts Institute of Technology;Harvard University;University of Notre Dame;Massachusetts Institute of Technology;International Business Machines;Massachusetts Institute of Technology;International Business Machines;International Business Machines,NAN,NAN
3773,On Weight-Sharing and Bilevel Optimization in Architecture Search,Carnegie Mellon University;Carnegie Mellon University;Carnegie Mellon University;Carnegie Mellon University,usa,usa
3774,Are there any 'object detectors' in the hidden layers of CNNs trained to identify objects or scenes?,University of Bristol;University of Bristol;University of Bristol;Auburn University;University of Bristol,europe,uk
3775,Dimensional Reweighting Graph Convolution Networks,"Tsinghua University, Tsinghua University;Stanford University;Alibaba Group;Alibaba Group;Beijing University of Post and Telecommunication;Alibaba Group;Tsinghua University, Tsinghua University",NAN,NAN
3776,Leveraging inductive bias of neural networks for learning without explicit human annotations,Rice University;Rice University,australasia,au
3777,XLDA: Cross-Lingual Data Augmentation for Natural Language Inference and Question Answering,Stanford University;SalesForce.com;SalesForce.com;SalesForce.com;SalesForce.com,NAN,NAN
3778,Ergodic Inference: Accelerate Convergence by Optimisation,University of Cambridge;University of Cambridge,europe,uk
3779,Synthetic vs Real: Deep Learning on Controlled Noise,Google;Google;Google,NAN,NAN
3780,Layerwise Learning Rates for Object Features in Unsupervised and Supervised Neural Networks And Consequent Predictions for the Infant Visual System,"Trinity College, Dublin;Trinity College, Dublin;Trinity College, Dublin;Trinity College, Dublin",NAN,NAN
3781,Non-Sequential Melody Generation,Memorial University of Newfoundland;Memorial University of Newfoundland;Memorial University of Newfoundland;Memorial University of Newfoundland;Memorial University of Newfoundland;Memorial University of Newfoundland;Memorial University of Newfoundland;,asia,in
3782,A Dynamic Approach to Accelerate Deep Learning Training,Barcelona Supercomputing Center;Barcelona Supercomputing Center;Intel;Barcelona Supercomputing Center,NAN,NAN
3783,Emergence of Compositional Language with Deep Generational Transmission,Georgia Institute of Technology;Georgia Institute of Technology;Georgia Institute of Technology;Georgia Institute of Technology;Georgia Institute of Technology,usa,usa
3784,AutoGrow: Automatic Layer Growing in Deep Convolutional Networks,"Duke University;University of Nevada, Reno;Duke University",europe,se
3785,Model-Agnostic Feature Selection with Additional Mutual Information,"New York University;New York University;New York University;University of California, Los Angeles;New York University",usa,usa
3786,Certifying Neural Network Audio Classifiers,Swiss Federal Institute of Technology;Swiss Federal Institute of Technology;Swiss Federal Institute of Technology;Swiss Federal Institute of Technology,NAN,NAN
3787,Wasserstein-Bounded Generative Adversarial Networks,Shanghai Jiao Tong University;Shanghai Jiao Tong University;;;Shanghai Jiao Tong University;Shanghai Jiao Tong University;Huawei Technologies Ltd.,NAN,NAN
3788,An Explicitly Relational Neural Network Architecture,Google;Google;Google;Imperial College London;Google;Google,NAN,NAN
3789,Do Deep Neural Networks for Segmentation Understand Insideness?,Massachusetts Institute of Technology;Max-Planck Institute;Massachusetts Institute of Technology;Massachusetts Institute of Technology;Massachusetts Institute of Technology;Massachusetts Institute of Technology;Fujitsu Laboratories Ltd.;Massachusetts Institute of Technology,usa,usa
3790,Split LBI for Deep Learning: Structural Sparsity via Differential Inclusion Paths,Fudan University;;The Hong Kong University of Science and Technology;Microsoft;Australian National University;The Hong Kong University of Science and Technology,NAN,NAN
3791,Contextual Text Style Transfer,"Microsoft;Microsoft;Microsoft;Microsoft;University of Washington, Seattle;Microsoft",NAN,NAN
3792,FLAT MANIFOLD VAES,"Machine Learning Research Lab, Volkswagen Group;Technical University Munich;Argo AI;Machine Learning Research Lab, Volkswagen Group;Volkswagen Group, Machine Learning Research Lab (MLRL)",NAN,NAN
3793,An Information Theoretic Approach to Distributed Representation Learning,Université Paris-Est;Huawei Technologies Ltd.,NAN,NAN
3794,LIA: Latently Invertible Autoencoder with Adversarial Learning,Hong Kong University of Science and Technology;Alibaba Group;The Chinese University of Hong Kong;Xiaomi,NAN,NAN
3795,Connecting the Dots Between MLE and RL for Sequence Prediction,";University of California, San Diego;;Carnegie Mellon University;Carnegie Mellon University",usa,usa
3796,BEYOND SUPERVISED LEARNING: RECOGNIZING UNSEEN ATTRIBUTE-OBJECT PAIRS WITH VISION-LANGUAGE FUSION AND ATTRACTOR NETWORKS,Xi'an Jiaotong University;Xi'an Jiaotong University;Xi'an Jiaotong University,NAN,NAN
3797,Distance-based Composable Representations with Neural Networks,KU Leuven;KU Leuven,europe,be
3798,Efficient Deep Representation Learning by Adaptive Latent Space Sampling,Imperial College London;Imperial College London;Imperial College London;Imperial College London;University of Cambridge;Imperial College London;Imperial College London,europe,uk
3799,Out-of-Distribution Detection Using Layerwise Uncertainty in Deep Neural Networks,The University of Tokyo;The University of Tokyo;The University of Tokyo,NAN,NAN
3800,Effect of top-down connections in Hierarchical Sparse Coding,Aix Marseille Univ;Aix Marseille Univ;Aix Marseille Univ;Aix Marseille Univ,NAN,NAN
3801,Multitask Soft Option Learning,;University of Oxford;;University of Oxford;University of Oxford;University of Oxford;University of Oxford,europe,uk
3802,Compositional Transfer in Hierarchical Reinforcement Learning,Google;Google;Google;Google;Google;Google;Google;Google;Google,NAN,NAN
3803,Federated User Representation Learning,University of Michigan;Facebook;University of Michigan;Facebook;Facebook;Facebook;University of Michigan,usa,usa
3804,Fairness with Wasserstein Adversarial Networks,"IRIT, CNRS;Université de Toulouse;IRIT, CNRS",NAN,NAN
3805,Quantum Expectation-Maximization for Gaussian Mixture Models,Université Paris Diderot;;Universite Paris Diderot,NAN,NAN
3806,Deep Evidential Uncertainty,Massachusetts Institute of Technology;Massachusetts Institute of Technology;Massachusetts Institute of Technology;Massachusetts Institute of Technology,usa,usa
3807,Variational Information Bottleneck for Unsupervised Clustering: Deep Gaussian Mixture Embedding,;Huawei Technologies Ltd.;Université Paris-Est,NAN,NAN
3808,Multi-scale Attributed Node Embedding,University of Edinburgh;University of Edinburgh;University of Edinburgh,europe,uk
3809,Model Inversion Networks for Model-Based Optimization,University of California Berkeley;University of California Berkeley,usa,usa
3810,Variational Autoencoders with Normalizing Flow Decoders,National Chiao Tung University;National Chiao Tung University,asia,tw
3811,Adversarial Attacks on Copyright Detection Systems,"University of Maryland, College Park;University of Maryland, College Park;University of Maryland, College Park",usa,usa
3812,MODiR: Multi-Objective Dimensionality Reduction for Joint Data Visualisation,University of Potsdam;Hasso Plattner Institute,europe,de
3813,Actor-Critic Approach for Temporal Predictive Clustering,";University of California, Los Angeles",usa,usa
3814,NeuroFabric: Identifying Ideal Topologies for Training A Priori Sparse Networks,Boston University;Boston University,europe,it
3815,Chart Auto-Encoders for Manifold Structured  Data,Rensselaer Polytechnic Institute;International Business Machines;Rensselaer Polytechnic Institute,usa,usa
3816,Putting Machine Translation in Context with the Noisy Channel Model,Google;Google;Google;Google;Google;Google;Google,NAN,NAN
3817,Optimizing Data Usage via Differentiable Rewards,Carnegie Mellon University;Carnegie Mellon University;Carnegie Mellon University;Carnegie Mellon University;Carnegie Mellon University;Carnegie Mellon University,usa,usa
3818,Representing Model Uncertainty of Neural Networks in Sparse Information Form,German Aerospace Center (DLR);German Aerospace Center (DLR),NAN,NAN
3819,Unsupervised Learning of Efficient and Robust Speech Representations,Google;Google;Google;Google;Google,NAN,NAN
