institution,ranking
Nanjing Normal University,776
Jawaharlal Nehru University,776
University of Hertfordshire,776
Pusan National University,781
University of Malta,781
Jiangsu Normal University,781
University of Westminster,784
Jikei University School of Medicine,784
Huazhong Agricultural University,784
University of Alcalá,784
Middle East Technical University,788
Hiroshima University,788
Waseda University,790
Jamia Millia Islamia,790
University of International Business and Economics,790
The University of Aizu,790
University of Technology of Compiègne,794
Sidi Mohamed Ben Abdellah University,794
Portland State University,794
University of Indonesia,794
University of Minho,798
"Lumière University, Lyon 2",798
Kurume University,798
ISCTE-University Institute of Lisbon,798
East China University of Science and Technology,798
Nanjing Tech University,803
Marquette University,803
Edinburgh Napier University,803
University of Pécs,806
National Institute of Technology Rourkela,806
Fuzhou University,806
Carlos III University of Madrid,806
University of Texas at El Paso,810
University of Seville,810
Pablo de Olavide University,810
University of Deusto,810
Nanjing Agricultural University,814
University of Lagos,814
Hyogo College of Medicine,814
Guangdong University of Technology,814
University of Salford,818
Federal University of Rio de Janeiro,818
Chang Gung University,818
Athens University of Economics and Business,818
University of the Aegean,818
University of Zaragoza,823
Saint-Petersburg Mining University,823
Southwestern University of Finance and Economics,825
University of Northern British Columbia (UNBC),825
Jinan University,825
Jadavpur University,825
Florida Atlantic University,825
University of Bradford,825
University of South Bohemia in České Budějovice,831
University of Science and Technology Beijing,831
University of Roehampton,831
Polytechnic University of Valencia,834
Chiba University,834
American University in Cairo,834
Technical University of Madrid,837
Northeast Normal University,837
Mississippi State University,837
"China University of Geosciences, Wuhan",837
"Asia University, Taiwan",837
University of Béjaïa,842
Rochester Institute of Technology,843
Kingston University,843
University of East London,843
Chulalongkorn University,843
Benha University,843
Ilmenau University of Technology,848
Chongqing University,848
China University of Mining and Technology,848
University of Chile,848
Shantou University,852
Shanghai University of Finance and Economics (SUFE),852
Shahid Beheshti University,852
Lebanese American University,852
Karlstad University,852
"International Islamic University, Islamabad",852
University of Algarve,852
Ajou University,852
Aligarh Muslim University,860
Yeungnam University,861
Vilnius University,861
Sogang University,861
RUDN University,864
"China University of Geosciences, Beijing",864
Al-Balqa Applied University,864
Sheffield Hallam University,867
Shanghai University,867
Kyungpook National University,867
Sri Venkateswara University,870
University of Nairobi,871
University of Córdoba,871
University of Brasília,871
University of Szeged,874
Niigata University,874
Kyoto Prefectural University of Medicine,874
National Sun Yat-Sen University,877
University of Central Lancashire,877
Rikkyo University,879
Teesside University,880
Shiraz University,880
Cardiff Metropolitan University,880
Bucharest University of Economic Studies,880
University of Las Palmas de Gran Canaria,884
Florida Institute of Technology,884
VIT University,886
University of Vigo,886
Tallinn University,886
Staffordshire University,886
Normandy University,886
National Central University,886
Leeds Beckett University,886
Federal University of Pelotas,886
Osmania University,894
The New School,894
"National Institute of Technology, Tiruchirappalli",894
Lviv Polytechnic National University,894
Juntendo University,894
"Vietnam National University, Hanoi",899
University Rey Juan Carlos,899
Istanbul University,899
University of Jordan,902
University of Puerto Rico,903
Pontifical Catholic University of Rio Grande do Sul (PUCRS),903
Capital Medical University,903
São Paulo State University (UNESP),906
Eastern Mediterranean University,906
American University of Sharjah,906
Northeastern University,906
Wuhan University of Technology,910
University of Wolverhampton,910
Technological University Dublin,912
Babeş-Bolyai University,912
Tokyo Medical University,914
Universiti Tenaga Nasional (UNITEN),914
National Dong Hwa University,914
Kaohsiung Medical University,914
University of Cadiz,914
Xidian University,919
K.N. Toosi University of Technology,919
Isfahan University of Medical Sciences,919
Birmingham City University,919
Louisiana Tech University,923
University of Kurdistan,923
Kanazawa University,923
Fu Jen Catholic University,923
University of Évora,923
University of Bedfordshire,923
Polytechnic Institute of Porto,929
Inha University,929
University of Baghdad,929
